name,rating,num_of_ratings,price,size,resolution,refresh_rate
,,,,,,
,,,,,,
"ViewSonic 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort (VX3276-MHD),SAMSUNG 34” S65UA Series Computer Monitor, Ultrawide QHD Screen, HDR10, 100Hz, Curved, USB- C, Adjustable Stand, Intelligent Eye Care, LS34A650UXNXGO, Black,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),SAMSUNG UE57 Series 28-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver Mode, VESA Compatible, FreeSync (LU28E570DS/ZA),LG 22MK430H-B 21.5-Inch Full HD Monitor with AMD FreeSync, Black,Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black,SAMSUNG 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black,SAMSUNG TU872 Series 32-Inch 4K UHD (3840x2160) Computer Monitor, Thunderbolt 3 Daisy Chain, HDMI, Display Port, Height Adjustable Stand, 3 Yr WRNTY (LF32TU872VNXGO),KOORUI 24 inch Computer Monitor, IPS FHD 1080p LED Desktop Monitor, 75Hz Ultra-Thin Bezel/Eye Care/HDMI VGA Ports Business Monitor for PC, Black,HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black,SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T452FQNXGO),Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black (E248W-FPT),Philips 271E1S 27"" Frameless Monitor, Full HD IPS 1080P, 124% sRGB, FreeSync 75Hz, VESA, 4Yr Advance Replacement,Dell S2722DZ 27-inch QHD 2560 x 1440 75Hz Video Conferencing Monitor, Noise-Cancelling Dual Microphones, Dual 5W Speakers, USB-C connectivity, 16.7 Million Colors, Silver,HP V27i FHD Monitor | 27-inch Diagonal Full HD Computer Monitor with IPS Panel and 3-Sided Micro Edge Design | Low Blue Light Screen with HDMI and VGA Ports | (9SV92AA#ABA) Black,Acer K202HQL bd 20” (19.5"" viewable) (1600 x 900) Monitor (DVI & VGA Ports)","4.6 out of 5 stars,4.4 out of 5 stars,4.7 out of 5 stars,4.5 out of 5 stars,4.6 out of 5 stars,4.5 out of 5 stars,4.4 out of 5 stars,3.9 out of 5 stars,4.7 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.4 out of 5 stars,4.7 out of 5 stars,4.4 out of 5 stars","8,437,79,21,900,1,421,1,428,5,964,1,690,112,69,13,602,1,095,3,548,11,492,165,287,5,297","199,.,542,.,174,.,399,.,116,.,146,.,299,.,749,.,135,.,134,.,209,.,129,.,219,.,299,.,149,.,99,.","32 inches,34 inches,23.8 inches,28 inches,21.5 inches,27 inches,34 inches,32 inches,23.8 inches,21.5 inches,24 inches,24 inches,27 inches,27 inches,27 inches,19.5 inches","FHD 1080p,QHD Ultra Wide 1440p,FHD 1080p,4K UHD 2160p,FHD 1080p,FHD 1080p,QHD Ultra Wide 1440p,4K UHD 2160p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,QHD Wide 1440p,FHD 1080i,HD+","60 hertz,100 hertz,75 hertz,60 hertz,75 hertz,75 hertz,75 hertz,60 hertz,75 hertz,60 hertz,75 hertz,75 hertz,75 hertz,75 hertz,60 hertz,60 hertz"
"ViewSonic 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort (VX3276-MHD)",4.6 out of 5 stars,"8,437","199,.",32 inches,FHD 1080p,60 hertz
,,,,,,
"ViewSonic 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort (VX3276-MHD)",4.6 out of 5 stars,"8,437","199,.",32 inches,FHD 1080p,60 hertz
,,,"199,.",,,
,,,,32 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
